Issue Type,Epic Name,Summary,Priority,Description,Acceptance Criteria
Epic,監視・検出,監視・検出,,,
Epic,スクリーニング,スクリーニング,,,
Epic,AI分類,AI分類,,,
Epic,ファイル移動・DB保存,ファイル移動・DB保存,,,
Epic,検索UI,検索UI,,,
Epic,放置ファイル検出,放置ファイル検出,,,
Epic,ゴミ箱/Undo,ゴミ箱/Undo,,,
Story,監視・検出,フォルダ監視機能の実装,P0,ダウンロードフォルダを常時監視し、新規ファイル作成時にパイプラインを起動する。,"- 指定フォルダに新規ファイルが作成されると検出イベントが発火する
- 対象外拡張子のファイルではイベントが発火しない
- アプリ起動中は監視が継続し、途中で停止しない"
Story,スクリーニング,拡張子判定・不要ファイル除外,P0,監視で検出したファイルが処理対象かどうかを判定する。,"- txt/pdf/jpg/png等の対象拡張子のみが後続処理に渡される
- .tmp, .crdownload等の一時ファイルは処理対象から除外される
- 読み込みに失敗したファイルはエラーログを出力し、処理をスキップする"
Story,AI分類,コンテンツ抽出機能,P0,ファイル種別ごとに内容をテキスト化する。,"- テキストファイルの中身を文字列として取得できる
- PDFからpdfplumberでテキストを抽出できる
- PDF抽出結果が空（スキャンPDF）の場合、pdf2image＋pytesseractでOCRにフォールバックする
- 写真はpytesseractのOCR結果とClaude Vision APIのキャプションを結合したテキストを取得できる"
Story,AI分類,Claude APIによる分類呼び出し,P0,抽出コンテンツと既存カテゴリ一覧をClaude APIに渡し、category/subtags/summaryを取得する。,"- 既存カテゴリ一覧を含めたプロンプトでAPIを呼び出せる
- レスポンスからcategory/subtags/summaryをJSONとしてパースできる
- レスポンスがJSON形式でない場合、パースエラーとして検知しログに残せる
- API呼び出し失敗時にリトライ、またはエラーハンドリングができる"
Story,AI分類,カテゴリ重複防止ロジック,P0,新規カテゴリ名を既存カテゴリとembedding類似度で照合し、表記ゆれを統合する。,"- 提案されたカテゴリ名をembedding化できる
- 既存カテゴリとのコサイン類似度を計算できる
- 類似度が閾値（暫定0.85）以上の場合、既存カテゴリ名に置き換えられる
- 類似度が閾値未満の場合、新規カテゴリとしてDBに登録される"
Story,ファイル移動・DB保存,ファイル移動＋メタデータ保存,P0,分類結果に基づき実ファイルを移動し、DBにメタデータを保存する。,"- カテゴリ名のフォルダが存在しない場合は自動作成される
- ファイルが対象フォルダへ移動される
- 移動前の元パスがtrash_logに記録される
- filesテーブルに全メタデータが漏れなく保存される"
Story,検索UI,意味検索バーの実装,P1,自然文入力による類似検索とカード表示を実装する。,"- 検索バーに自然文を入力すると結果がカード形式で表示される
- クエリのembeddingとファイルのembeddingのコサイン類似度で上位N件が返る
- 該当ファイルがない場合「見つかりませんでした」等のメッセージが表示される
- カードにファイル名・カテゴリ・要約・サムネイルが表示される"
Story,放置ファイル検出,放置ファイル一覧のオンデマンド計算,P2,「放置ファイル」タブを開いた際にその場でスコアリングし一覧表示する。,"- タブを開くとアクティブファイルを対象にスコアリング処理が実行される
- 未アクセス期間・重複（ハッシュ一致）・サイズを加味したスコアで並び替えられる
- last_accessed_atが無い場合はOSの更新日時（mtime）で代用される
- 一覧から対象ファイルを選択して削除/アーカイブできる"
Story,ゴミ箱/Undo,ゴミ箱・Undo機能,P3,削除・移動操作を取り消せる安全策を実装する。,"- 削除操作は即時削除ではなくstatus=trashedへの変更として扱われる
- 直近の移動/削除操作をUndoで元に戻せる
- 操作内容がtrash_logに記録される"
